participant,Group,Epoch,OA_Total_mean_raw,OA_Total_RMSE_raw,OA_Total_slope,OA_Total_r,OA_Total_P_0_1Hz,OA_Total_P_1_3Hz,OA_Total_P_3_7Hz,OA_Total_P_7_12Hz,OA_Total_P_12_20Hz,OA_Coh_0_1Hz,OA_Coh_1_3Hz,OA_Coh_3_7Hz,OA_Coh_7_12Hz,OA_Coh_12_20Hz,OA_F_alvo_mean,OF_Total_mean_raw,OF_Total_RMSE_raw,OF_Total_slope,OF_Total_r,OF_Total_p,OF_Total_P_0_1Hz,OF_Total_P_1_3Hz,OF_Total_P_3_7Hz,OF_Total_P_7_12Hz,OF_Total_P_12_20Hz,OF_Coh_0_1Hz,OF_Coh_1_3Hz,OF_Coh_3_7Hz,OF_Coh_7_12Hz,OF_Coh_12_20Hz,OF_F_alvo_mean
1,Placebo,POS,37.33896825,2.376919158,-0.155147275,-0.333811525,1.021671352,0.199442638,0.023924166,0.010393981,0.00420337,0.372899582,0.574237464,0.237469211,0.271829445,0.19561181,38.1,36.88902299,2.155935009,0.036855906,0.101898845,2.55E-05,4.172819527,0.040457591,0.013491772,0.005746886,0.002712514,0.419442139,0.187880691,0.294643013,0.216482155,0.246680612,38.1
2,Placebo,POS,19.85343528,1.213863417,-0.143514238,-0.710190529,0.223405221,0.030624434,0.002135314,0.002099996,0.002280171,0.527955832,0.669610446,0.207049962,0.295947415,0.251170308,18.9,18.97019793,0.515294861,0.011000846,0.125052987,2.29E-07,0.195731011,0.012836329,0.00572672,0.002351968,0.002779585,0.54544568,0.279030397,0.258798406,0.228514662,0.159477838,18.9
3,Placebo,POS,29.34635152,0.720912748,0.050963545,0.389720583,0.141517546,0.075087627,0.005841418,0.003508171,0.00169387,0.623674817,0.725310807,0.322698674,0.200236735,0.136555024,29.7,28.24291814,1.767289965,-0.024699998,-0.157256475,6.96E-11,0.728573927,0.024920856,0.006753833,0.001802014,0.001606843,0.819662426,0.388136857,0.252382152,0.235317779,0.246204664,29.7
4,Placebo,POS,43.43946484,2.659606124,-0.321845745,-0.785710836,1.217228124,0.075920115,0.005413484,0.002174658,0.001729137,0.788725319,0.809644216,0.304693908,0.219484798,0.216292985,41.1,43.04619003,2.19138497,-0.023933961,-0.127961049,1.19E-07,0.640610423,0.031902863,0.003214684,0.002017883,0.001893474,0.260022557,0.37652617,0.218460578,0.199921059,0.241626771,41.1
5,Placebo,POS,51.56498317,1.565246049,-0.028309078,-0.099255685,0.43615122,0.261515801,0.025264379,0.005380201,0.002661221,0.267671316,0.537166585,0.28445235,0.244633621,0.183013287,52.2,52.76871048,1.40162669,-0.117215645,-0.491460689,3.98E-104,1.180773468,0.053388136,0.013798277,0.003149696,0.002393138,0.412681283,0.272027736,0.221481033,0.26658839,0.170374384,52.2
6,Placebo,POS,30.74401865,3.799869755,0.448098612,0.60437127,3.860835475,1.139784804,0.057780884,0.029141971,0.004353856,0.548396505,0.772920925,0.505456567,0.45825445,0.287242827,32.4,31.73058617,1.191010215,-0.137822876,-0.599981436,7.43E-167,0.252899762,0.350927771,0.026466003,0.010910407,0.003236552,0.648391926,0.668966693,0.535729655,0.316908143,0.202818634,32.4
7,Placebo,POS,86.44916755,5.561324901,-0.401715682,-0.353733692,6.055444356,0.989126699,0.071354576,0.02450572,0.004516452,0.51898905,0.704176244,0.520371142,0.484314729,0.245023224,87.6,86.68414923,2.19699099,0.025553702,0.062730301,0.009657865,3.103080468,0.240742917,0.026829114,0.011440858,0.002983651,0.610784029,0.325359956,0.177197748,0.254532878,0.18726194,87.6
8,Placebo,POS,69.41001467,2.424656136,-0.133158766,-0.3550629,1.379896801,0.640273112,0.044602327,0.019816108,0.005167242,0.511170064,0.65126192,0.256717097,0.344799197,0.258261419,71.1,59.71311549,11.99125717,-0.198616339,-0.660214483,1.80E-213,0.887373549,0.135251634,0.06940284,0.02386101,0.006160435,0.366419967,0.255396619,0.261748738,0.23731344,0.206639272,71.1
9,Placebo,POS,58.06263959,2.843646534,-0.023623061,-0.042099197,2.714069554,1.470625417,0.127419315,0.365651289,0.007928924,0.719789939,0.758242461,0.495896408,0.659494984,0.33175666,58.2,53.65675326,5.469628579,-0.316213922,-0.678164811,1.54E-229,3.233510227,0.362546448,0.056976499,0.07754846,0.005628967,0.732949306,0.493099046,0.329566653,0.245062928,0.244937632,58.2
10,Placebo,POS,45.25112066,1.16501252,0.023034165,0.118884055,0.867776173,0.614068581,0.02853237,0.007984828,0.002037414,0.631512062,0.557270278,0.325978621,0.190987936,0.2005188,45.9,44.5487964,1.812039796,0.017474627,0.070362055,0.003691105,2.312544287,0.053540105,0.006904644,0.009100831,0.002628105,0.419032697,0.292382041,0.232539851,0.141349166,0.239574759,45.9
